query	no	token	pos
전주 여행	1	갈려고	VV+EC
전주 여행	1	는데요	EF
전주 여행	1	갈려고	VV+EC
전주 여행	1	는데요	EC
전주 여행	1	사람	NNG
전주 여행	1	갈려고	VV+EC
전주 여행	1	는데	EC
전주 여행	1	호텔	NNG
전주 여행	1	가격	NNG
전주 여행	1	정했	VV+EP
전주 여행	1	인데	VCP+EC
전주 여행	1	얼마	NNG
전주 여행	1	정도	NNG
전주 여행	1	을까요	EF
전주 여행	1	그리고	MAJ
전주 여행	1	맛집	NNG
전주 여행	1	카페	NNG
전주 여행	1	추천	NNG
전주 여행	1	세요	EP+EF
전주 여행	1	안녕	IC
전주 여행	1	세요	EP+EF
전주 여행	1	계획	NNG
전주 여행	1	네요	EF
전주 여행	1	한옥	NNG
전주 여행	1	마을	NNG
전주 여행	1	근처	NNG
전주 여행	2	관련	NNG
전주 여행	2	질문	NNG
전주 여행	2	계획	NNG
전주 여행	2	계시	VX
전주 여행	2	다니	EC
전주 여행	2	정말	MAG
전주 여행	2	선택	NNG
전주 여행	2	네요	EF
전주 여행	2	한옥마을	NNP
전주 여행	2	함께	MAG
전주 여행	2	멋진	VA+ETM
전주 여행	2	자연	NNG
전주 여행	2	경관	NNG
전주 여행	2	맛있	VA
전주 여행	2	음식	NNG
전주 여행	2	가득	MAG
전주 여행	2	동네	NNG
전주 여행	2	정말	MAG
전주 여행	2	즐거운	VA+ETM
전주 여행	2	시간	NNG
전주 여행	2	보낼	VV+ETM
전주 여행	2	예요	VCP+EF
전주 여행	2	우선	MAG
전주 여행	2	한옥	NNG
전주 여행	2	마을	NNG
전주 여행	2	근처	NNG
전주 여행	2	에서	JKB
전주 여행	2	장소	NNG
전주 여행	3	여학생	NNG
전주 여행	3	친구	NNG
전주 여행	3	안녕	NNG
전주 여행	3	세요	EP+EF
전주 여행	3	15	SN
전주 여행	3	여학생	NNG
전주 여행	3	입니다	VCP+EF
전주 여행	3	친한	VA+ETM
전주 여행	3	친구	NNG
전주 여행	3	는데	EC
전주 여행	3	어디	NP
전주 여행	3	할지	VX+EC
전주 여행	3	몰라서	VV+EC
전주 여행	3	너무	MAG
전주 여행	3	막막	XR
전주 여행	3	합니다	XSA+EF
전주 여행	3	저희	NP
전주 여행	3	일본	NNP
전주 여행	3	애니	NNP
전주 여행	3	너무	MAG
전주 여행	3	는데	EC
전주 여행	3	오타쿠	NNP
전주 여행	3	갈만	NNG
전주 여행	3	을까요	EC
전주 여행	3	제발	MAG
전주 여행	3	알려	VV+EC
전주 여행	3	세요	EP+EF
전주 여행	4	부모	NNG
전주 여행	4	모시	VV
전주 여행	4	부모	NNG
전주 여행	4	모시	VV
전주 여행	4	려는데	EC
전주 여행	4	명소	NNG
전주 여행	4	식당	NNG
전주 여행	4	추천	NNG
전주 여행	4	부탁	NNG
전주 여행	4	드립니다	VV+EC
전주 여행	4	한옥마을	NNP
전주 여행	4	유명	XR
전주 여행	4	완산구	NNP
전주 여행	4	으며	EC
전주 여행	4	덕진구	NNP
전주 여행	4	또한	MAJ
전주 여행	4	멋진	VA+ETM
전주 여행	4	추억	NNG
전주 여행	4	가진	VV+ETM
전주 여행	4	장소	NNG
전주 여행	4	많이	MAG
전주 여행	5	이번	NNG
전주 여행	5	여자	NNG
전주 여행	5	친구	NNG
전주 여행	5	는데	EC
전주 여행	5	경로	NNG
전주 여행	5	알려	VV+EC
전주 여행	5	세요	EP+EF
전주 여행	5	토요일	NNG
전주 여행	5	온다고	VV+EC
전주 여행	5	는데	EC
전주 여행	5	실내	NNG
전주 여행	5	데이트	NNG
전주 여행	5	가능	NNG
전주 여행	5	알려	VV+EC
전주 여행	5	감사	NNG
전주 여행	5	습니다	EF
전주 여행	5	숙소	NNG
전주 여행	5	한옥	NNG
전주 여행	5	마을	NNG
전주 여행	5	근처	NNG
전주 여행	5	습니다	EF
전주 여행	5	한옥마을	NNP
전주 여행	5	구경	NNG
전주 여행	6	저녁	NNG
전주 여행	6	주천	NNG
전주 여행	6	산책	NNG
전주 여행	6	따라	VV+EC
전주 여행	6	거나	EC
전주 여행	6	한옥	NNG
전주 여행	6	마을	NNG
전주 여행	6	근처	NNG
전주 여행	6	에서	JKB
전주 여행	6	야경	NNG
전주 여행	6	즐기	VV
전주 여행	6	너무	MAG
전주 여행	6	답니다	EF
전주 여행	6	혹시	MAG
전주 여행	6	일정	NNG
전주 여행	6	이나	JC
전주 여행	6	관심	NNG
전주 여행	6	테마	NNG
전주 여행	6	사진	NNG
전주 여행	6	카페	NNG
전주 여행	6	체험	NNG
전주 여행	6	알려	VV+EC
전주 여행	6	맞춤	VV+EC
전주 여행	6	추천	NNG
전주 여행	6	드릴	VX+ETM
전주 여행	6	어요	EF
전주 여행	6	즐거운	VA+ETM
전주 여행	6	바랄	VV+ETM
전주 여행	6	게요	NNB+VCP+EC
전주 여행	7	코스	NNG
전주 여행	7	추천	NNG
전주 여행	7	~!	SY
전주 여행	7	영화제	NNG
전주 여행	7	기간	NNG
전주 여행	7	일정	NNG
전주 여행	7	으로	JKB
전주 여행	7	볼까	EC+VX+EC
전주 여행	7	해서	VV+EC
전주 여행	7	코스	NNG
전주 여행	7	추천	NNG
전주 여행	7	세요	EP+EF
전주 여행	7	어차피	MAG
전주 여행	7	주목적	NNG
전주 여행	7	전주국	NNG
전주 여행	7	영화제	NNG
전주 여행	7	니까	VCP+EC
전주 여행	7	둘러보	VV
전주 여행	7	에요	VCP+EF
전주 여행	7	그냥	MAG
전주 여행	7	알짜배기	NNG
전주 여행	7	추천	NNG
전주 여행	8	주로	MAG
전주 여행	8	커플	NNG
전주 여행	8	려고	EC
전주 여행	8	는데	EC
전주 여행	8	추천	NNG
전주 여행	8	세요	EP+EF
전주 여행	8	숙소	NNG
전주 여행	8	거리	NNG
전주 여행	8	맛집	NNG
전주 여행	8	등등	NNB
전주 여행	8	추천	NNG
전주 여행	8	감사	NNG
전주 여행	8	습니다	EF
전주 여행	8	한옥마을	NNP
전주 여행	8	겁니다	NNB+VCP+EF
전주 여행	8	답변	NNG
전주 여행	8	도움	NNG
전주 여행	8	으면	EC
전주 여행	8	습니다	EF
전주 여행	8	한옥마을	NNP
전주 여행	8	한옥마을	NNP
전주 여행	8	맛집	NNG
전주 여행	8	거리	EC
전주 여행	8	추천	NNG
전주 여행	9	추석	NNG
전주 여행	9	16	SN
전주 여행	9	18	SN
전주 여행	9	려고	EC
전주 여행	9	는데	EC
전주 여행	9	그때	NNG
전주 여행	9	한옥마을	NNP
전주 여행	9	관광지	NNG
전주 여행	9	을까요	EC
전주 여행	9	추석	NNG
전주 여행	9	당일	NNG
전주 여행	9	습니다	EF
전주 여행	9	에도	NNP
전주 여행	9	이벤트	NNG
전주 여행	9	진행	NNG
전주 여행	9	입니다	VCP+EC
전주 여행	9	27	SN
전주 여행	9	10	SN
전주 여행	9	13	SN
전주 여행	9	한국	NNP
전주 여행	9	관광공사	NNP
전주 여행	9	에서	JKB
전주 여행	9	숙박	NNG
전주 여행	9	세일	NNG
전주 여행	9	페스타	NNP
전주 여행	9	이벤트	NNG
전주 여행	9	진행	NNG
전주 여행	9	입니다	VCP+EC
전주 여행	10	연령	NNG
전주 여행	10	렌트카	NNG
전주 여행	10	추천	NNG
전주 여행	10	이번	NNG
전주 여행	10	21	SN
전주 여행	10	으로	JKB
전주 여행	10	19	SN
전주 여행	10	입니다	VCP+EF
전주 여행	10	연령	NNG
전주 여행	10	자동차	NNG
전주 여행	10	추천	NNG
전주 여행	10	부탁	NNG
전주 여행	10	드리	VV
전주 여행	10	습니다	EF
전주 여행	10	그리고	MAJ
전주 여행	10	가격	NNG
전주 여행	10	렌트	NNG
전주 여행	10	어느	MM
전주 여행	10	정도	NNG
전주 여행	10	나올까요	VV+EF
전주 여행	10	에서	JKB
전주 여행	10	21	SN
전주 여행	10	이상	NNG
전주 여행	10	렌트	NNG
전주 여행	10	가능	NNG
전주 여행	10	자동차	NNG
전주 여행	10	찾아보	VV
전주 여행	10	세요	EP+EF
전주 여행	10	가격	NNG
전주 여행	11	포항	NNP
전주 여행	11	에서	JKB
전주 여행	11	포항	NNP
전주 여행	11	까지	JX
전주 여행	11	기차	NNG
전주 여행	11	을까요	EC
전주 여행	11	버스	NNG
전주 여행	11	을까요	EC
전주 여행	11	안녕	NNG
전주 여행	11	세요	EP+EF
전주 여행	11	에서	JKB
전주 여행	11	포항	NNP
전주 여행	11	까지	JX
전주 여행	11	기차	NNG
전주 여행	11	버스	NNG
전주 여행	11	각각	MAG
전주 여행	11	장단점	NNG
전주 여행	11	으므로	EC
전주 여행	11	어떤	MM
전주 여행	11	방법	NNG
전주 여행	11	은지	EC
전주 여행	11	결정	NNG
전주 여행	11	가지	NNBC
전주 여행	11	요소	NNG
전주 여행	11	고려	NNG
전주 여행	11	필요	NNG
전주 여행	11	습니다	EF
전주 여행	12	펜션	NNG
전주 여행	12	한옥	NNG
전주 여행	12	으로	JKB
전주 여행	12	이번	NNG
전주 여행	12	남자	NNG
전주 여행	12	친구	NNG
전주 여행	12	같이	MAG
전주 여행	12	해서	VV+EC
전주 여행	12	얼른	MAG
전주 여행	12	펜션	NNG
전주 여행	12	봐야	VX+EC
전주 여행	12	는데	EC
전주 여행	12	한옥	NNG
전주 여행	12	마을	NNG
전주 여행	12	근처	NNG
전주 여행	12	한옥	NNG
전주 여행	12	느낌	MAG
전주 여행	12	펜션	NNG
전주 여행	12	으로	JKB
전주 여행	12	을까요	EC
전주 여행	12	내부	NNG
전주 여행	12	정감	NNG
전주 여행	12	분위기	NNG
전주 여행	12	아요	EF
전주 여행	12	빠른	VA+ETM
전주 여행	12	답변	NNG
전주 여행	12	부탁	NNG
전주 여행	13	세요	EP+EF
전주 여행	13	한옥마을	NNP
전주 여행	13	유명	XR
전주 여행	13	완산구	NNP
전주 여행	13	으며	EC
전주 여행	13	덕진구	NNP
전주 여행	13	또한	MAJ
전주 여행	13	멋진	VA+ETM
전주 여행	13	추억	NNG
전주 여행	13	가진	VV+ETM
전주 여행	13	장소	NNG
전주 여행	13	많이	MAG
전주 여행	13	습니다	EF
전주 여행	13	완산구	NNP
